TEXT_ID,BUSINESS_ID,ATTR_ID,NUMBER_VALUE
10000001,10001040,39,21
10000002,10001054,39,21
10000003,10002178,39,18
10000004,10002285,39,21
10000005,10002295,39,18
10000006,10002383,39,21
10000007,10002384,39,21
10000008,10002506,39,21
10000009,10002529,39,21
10000010,10008770,39,21
10000011,10009212,39,21
10000012,10010076,39,21
10000013,10010944,39,21
10000014,10010966,39,21
10000015,10011349,39,21
10000016,10012684,39,21
10000017,10013119,39,18
10000018,10013699,39,21
10000019,10013711,39,21
10000020,10013861,39,21
10000021,10015594,39,21
10000022,10015829,39,21
10000023,10015901,39,21
10000024,10016165,39,21
10000025,10016434,39,18
10000026,10016576,39,21
10000027,10018533,39,21
10000028,10018620,39,21
10000029,10018647,39,21
10000030,10019133,39,21
10000031,10020061,39,21
10000032,10020226,39,21
10000033,10020247,39,21
10000034,10020262,39,21
10000035,10020274,39,21
10000036,10020276,39,21
10000037,10020279,39,21
10000038,10020291,39,21
10000039,10020308,39,21
10000040,10020340,39,21
10000041,10020393,39,21
10000042,10020511,39,21
10000043,10020546,39,18
10000044,10020652,39,21
10000045,10020716,39,21
10000046,10020734,39,21
10000047,10020743,39,21
10000048,10020762,39,21
10000049,10020807,39,21
10000050,10020854,39,21
10000051,10020875,39,21
10000052,10020888,39,21
10000053,10020996,39,21
10000054,10021094,39,21
10000055,10021095,39,21
10000056,10021104,39,18
10000057,10021122,39,21
10000058,10021168,39,21
10000059,10021370,39,21
10000060,10021399,39,21
10000061,10021485,39,21
10000062,10024597,39,21
10000063,10027168,39,21
10000064,10027187,39,21
10000065,10027708,39,21
10000066,10027715,39,21
10000067,10027945,39,21
10000068,10027946,39,21
10000069,10028327,39,21
10000070,10028338,39,21
10000071,10028673,39,21
10000072,10028990,39,21
10000073,10029149,39,21
10000074,10029561,39,21
10000075,10029609,39,21
10000076,10029833,39,21
10000077,10030066,39,21
10000078,10030315,39,21
10000079,10030916,39,21
10000080,10031228,39,21
10000081,10031252,39,21
10000082,10031261,39,21
10000083,10031460,39,21
10000084,10031560,39,21
10000085,10031833,39,21
10000086,10032959,39,21
10000087,10033014,39,21
10000088,10033121,39,21
10000089,10033233,39,21
10000090,10033282,39,21
10000091,10033506,39,21
10000092,10033545,39,21
10000093,10033605,39,21
10000094,10033675,39,18
10000095,10034172,39,21
10000096,10034173,39,18
10000097,10034180,39,21
10000098,10034302,39,21
10000099,10034456,39,21
10000100,10034543,39,21
10000101,10035838,39,21
10000102,10036188,39,21
10000103,10036561,39,21
10000104,10036605,39,21
10000105,10036771,39,21
10000106,10039050,39,21
10000107,10040794,39,21
10000108,10040977,39,21
10000109,10041017,39,21
10000110,10041093,39,21
10000111,10041305,39,21
10000112,10041638,39,21
10000113,10041655,39,21
10000114,10042345,39,18
10000115,10042560,39,21
10000116,10042934,39,21
10000117,10043528,39,21
10000118,10043753,39,21
10000119,10044133,39,21
10000120,10044504,39,21
10000121,10044523,39,21
10000122,10044535,39,21
10000123,10044781,39,21
10000124,10044904,39,18
10000125,10044913,39,21
10000126,10045148,39,21
10000127,10045423,39,21
10000128,10045537,39,21
10000129,10045619,39,18
10000130,10045922,39,21
10000131,10045958,39,21
10000132,10046148,39,21
10000133,10046265,39,21
10000134,10046425,39,21
10000135,10046515,39,21
10000136,10046523,39,21
10000137,10046617,39,21
10000138,10046854,39,21
10000139,10047854,39,21
10000140,10047946,39,21
10000141,10048032,39,21
10000142,10048750,39,21
10000143,10048873,39,21
10000144,10048950,39,21
10000145,10048951,39,18
10000146,10049819,39,21
10000147,10050524,39,21
10000148,10050585,39,21
10000149,10050645,39,21
10000150,10050688,39,18
10000151,10050853,39,18
10000152,10050990,39,21
10000153,10051743,39,21
10000154,10051946,39,21
10000155,10051983,39,18
10000156,10052403,39,21
10000157,10053063,39,21
10000158,10053304,39,21
10000159,10053462,39,21
10000160,10053560,39,21
10000161,10053665,39,21
10000162,10053796,39,21
10000163,10053837,39,21
10000164,10054061,39,21
10000165,10054181,39,21
10000166,10054289,39,21
10000167,10054480,39,21
10000168,10055027,39,21
10000169,10055332,39,21
10000170,10055411,39,21
10000171,10055950,39,21
10000172,10056212,39,21
10000173,10056380,39,21
10000174,10056962,39,21
10000175,10057021,39,21
10000176,10057789,39,21
10000177,10057972,39,21
10000178,10058096,39,21
10000179,10058304,39,21
10000180,10058570,39,21
10000181,10059163,39,21
10000182,10059486,39,21
10000183,10059578,39,21
10000184,10059928,39,21
10000185,10060845,39,21
10000186,10061724,39,21
10000187,10061752,39,21
10000188,10061834,39,21
10000189,10063186,39,21
10000190,10063267,39,21
10000191,10063790,39,21
10000192,10064140,39,21
10000193,10064142,39,21
10000194,10064183,39,21
10000195,10064701,39,21
10000196,10065428,39,18
10000197,10065868,39,21
10000198,10065869,39,21
10000199,10066835,39,21
10000200,10069134,39,21
10000201,10070842,39,21
10000202,10071506,39,21
10000203,10071969,39,21
10000204,10072408,39,21
10000205,10073376,39,21
10000206,10073505,39,21
10000207,10073579,39,18
10000208,10074181,39,18
10000209,10074794,39,21
10000210,10074974,39,21
10000211,10075145,39,21
