TEXT_ID,BUSINESS_ID,ATTR_ID,TEXT_VALUE
10000001,10000001,1,Yes
10000002,10000001,3,None
10000003,10000001,5,Casual
10000004,10000001,8,No
10000005,10000001,11,No
10000006,10000001,14,No
10000007,10000001,15,No
10000008,10000001,16,No
10000009,10000001,18,No
10000010,10000001,19,No
10000011,10000001,20,Yes
10000012,10000001,21,Yes
10000013,10000001,22,No
10000014,10000001,23,No
10000015,10000001,26,No
10000016,10000001,28,Average
10000017,10000001,31,No
10000018,10000001,34,Yes
10000019,10000001,35,No
10000020,10000001,36,No
10000021,10000002,1,Yes
10000022,10000002,20,Yes
10000023,10000002,25,Yes
10000024,10000002,31,No
10000025,10000003,21,Yes
10000026,10000004,1,Yes
10000027,10000004,3,Full Bar
10000028,10000004,4,Divey
10000029,10000004,5,Casual
10000030,10000004,8,Yes
10000031,10000004,9,No
10000032,10000004,11,No
10000033,10000004,15,No
10000034,10000004,16,No
10000035,10000004,17,No
10000036,10000004,18,No
10000037,10000004,19,No
10000038,10000004,20,Yes
10000039,10000004,21,Yes
10000040,10000004,22,No
10000041,10000004,23,Yes
10000042,10000004,25,No
10000043,10000004,26,Yes
10000044,10000004,28,Average
10000045,10000004,31,No
10000046,10000004,33,No
10000047,10000004,34,Yes
10000048,10000004,35,No
10000049,10000004,36,Yes
10000050,10000004,38,No
10000051,10000005,1,Yes
10000052,10000005,20,Yes
10000053,10000005,21,Yes
10000054,10000005,35,Yes
10000055,10000006,1,Yes
10000056,10000006,3,Full Bar
10000057,10000006,4,Casual
10000058,10000006,5,Casual
10000059,10000006,8,No
10000060,10000006,9,No
10000061,10000006,11,No
10000062,10000006,15,No
10000063,10000006,16,No
10000064,10000006,17,No
10000065,10000006,18,No
10000066,10000006,19,Yes
10000067,10000006,20,Yes
10000068,10000006,21,No
10000069,10000006,22,No
10000070,10000006,23,No
10000071,10000006,25,Yes
10000072,10000006,26,Yes
10000073,10000006,28,Loud
10000074,10000006,31,Yes
10000075,10000006,32,Lot
10000076,10000006,33,Outdoor
10000077,10000006,34,Yes
10000078,10000006,35,No
10000079,10000006,36,Yes
10000080,10000006,38,Free
10000081,10000007,1,Yes
10000082,10000008,21,Yes
10000083,10000011,38,Free
10000084,10000013,1,Yes
10000085,10000013,3,None
10000086,10000013,5,Casual
10000087,10000013,11,No
