HOUR_ID,BUSINESS_ID,WEEKDAY_ID,OPEN_TIME,CLOSE_TIME
10000001,10000001,1,2000-01-01 11:00,2000-01-01 21:00
10000002,10000001,2,2000-01-01 11:00,2000-01-01 21:00
10000003,10000001,3,2000-01-01 11:00,2000-01-01 21:00
10000004,10000001,4,2000-01-01 11:00,2000-01-01 21:00
10000005,10000001,5,2000-01-01 11:00,2000-01-01 21:00
10000006,10000004,2,2000-01-01 10:00,2000-01-01 19:00
10000007,10000004,3,2000-01-01 10:00,2000-01-01 19:00
10000008,10000004,4,2000-01-01 10:00,2000-01-01 19:00
10000009,10000004,5,2000-01-01 10:00,2000-01-01 20:00
10000010,10000004,6,2000-01-01 10:00,2000-01-01 16:00
10000011,10000005,3,2000-01-01 11:00,2000-01-01 20:00
10000012,10000005,4,2000-01-01 11:00,2000-01-01 20:00
10000013,10000005,5,2000-01-01 11:00,2000-01-01 20:00
10000014,10000005,6,2000-01-01 11:00,2000-01-01 20:00
10000015,10000005,7,2000-01-01 10:00,2000-01-01 15:00
10000016,10000006,1,2000-01-01 11:00,2000-01-01 02:00
10000017,10000006,2,2000-01-01 11:00,2000-01-01 02:00
10000018,10000006,3,2000-01-01 11:00,2000-01-01 02:00
10000019,10000006,4,2000-01-01 11:00,2000-01-01 02:00
10000020,10000006,5,2000-01-01 11:00,2000-01-01 02:00
10000021,10000006,6,2000-01-01 12:00,2000-01-01 02:00
10000022,10000006,7,2000-01-01 12:00,2000-01-01 22:00
10000023,10000007,1,2000-01-01 07:30,2000-01-01 18:00
10000024,10000007,2,2000-01-01 07:30,2000-01-01 18:00
10000025,10000007,3,2000-01-01 07:30,2000-01-01 18:00
10000026,10000007,4,2000-01-01 07:30,2000-01-01 18:00
10000027,10000007,5,2000-01-01 07:30,2000-01-01 18:00
10000028,10000007,6,2000-01-01 07:30,2000-01-01 16:00
10000029,10000013,1,2000-01-01 08:00,2000-01-01 02:00
10000030,10000013,2,2000-01-01 08:00,2000-01-01 02:00
10000031,10000013,3,2000-01-01 08:00,2000-01-01 02:00
10000032,10000013,4,2000-01-01 08:00,2000-01-01 02:00
10000033,10000013,5,2000-01-01 08:00,2000-01-01 02:00
10000034,10000013,6,2000-01-01 08:00,2000-01-01 02:00
10000035,10000013,7,2000-01-01 08:00,2000-01-01 02:00
10000036,10000014,1,2000-01-01 00:00,2000-01-01 00:00
10000037,10000014,2,2000-01-01 00:00,2000-01-01 00:00
10000038,10000014,3,2000-01-01 00:00,2000-01-01 00:00
10000039,10000014,4,2000-01-01 00:00,2000-01-01 00:00
10000040,10000014,5,2000-01-01 00:00,2000-01-01 00:00
10000041,10000014,6,2000-01-01 00:00,2000-01-01 00:00
10000042,10000014,7,2000-01-01 00:00,2000-01-01 00:00
10000043,10000018,1,2000-01-01 11:00,2000-01-01 23:00
10000044,10000018,2,2000-01-01 11:00,2000-01-01 23:00
10000045,10000018,3,2000-01-01 11:00,2000-01-01 23:00
10000046,10000018,4,2000-01-01 11:00,2000-01-01 23:00
10000047,10000018,5,2000-01-01 11:00,2000-01-01 23:00
10000048,10000018,6,2000-01-01 11:00,2000-01-01 23:00
10000049,10000019,1,2000-01-01 06:00,2000-01-01 14:30
10000050,10000019,2,2000-01-01 06:00,2000-01-01 14:30
10000051,10000019,3,2000-01-01 06:00,2000-01-01 14:30
10000052,10000019,4,2000-01-01 06:00,2000-01-01 14:30
10000053,10000019,5,2000-01-01 06:00,2000-01-01 14:30
10000054,10000019,6,2000-01-01 06:00,2000-01-01 12:30
10000055,10000019,7,2000-01-01 07:00,2000-01-01 12:30
10000056,10000020,1,2000-01-01 07:00,2000-01-01 14:00
10000057,10000020,2,2000-01-01 07:00,2000-01-01 14:00
10000058,10000020,3,2000-01-01 07:00,2000-01-01 14:00
10000059,10000020,4,2000-01-01 07:00,2000-01-01 14:00
10000060,10000020,5,2000-01-01 07:00,2000-01-01 14:00
10000061,10000020,6,2000-01-01 07:00,2000-01-01 12:00
10000062,10000021,1,2000-01-01 00:00,2000-01-01 00:00
10000063,10000021,2,2000-01-01 00:00,2000-01-01 00:00
10000064,10000021,3,2000-01-01 00:00,2000-01-01 00:00
10000065,10000021,4,2000-01-01 00:00,2000-01-01 00:00
10000066,10000021,5,2000-01-01 00:00,2000-01-01 00:00
10000067,10000021,6,2000-01-01 00:00,2000-01-01 00:00
10000068,10000021,7,2000-01-01 00:00,2000-01-01 00:00
10000069,10000023,1,2000-01-01 11:00,2000-01-01 22:00
10000070,10000023,2,2000-01-01 11:00,2000-01-01 22:00
10000071,10000023,3,2000-01-01 11:00,2000-01-01 22:00
10000072,10000023,4,2000-01-01 11:00,2000-01-01 23:00
10000073,10000023,5,2000-01-01 11:00,2000-01-01 00:00
10000074,10000023,6,2000-01-01 11:00,2000-01-01 23:00
10000075,10000023,7,2000-01-01 12:00,2000-01-01 22:30
10000076,10000024,1,2000-01-01 08:30,2000-01-01 19:00
10000077,10000024,2,2000-01-01 08:30,2000-01-01 19:00
10000078,10000024,3,2000-01-01 08:30,2000-01-01 19:00
10000079,10000024,4,2000-01-01 08:30,2000-01-01 19:00
10000080,10000024,5,2000-01-01 08:30,2000-01-01 19:00
10000081,10000024,6,2000-01-01 08:30,2000-01-01 18:30
10000082,10000028,1,2000-01-01 09:00,2000-01-01 19:00
10000083,10000028,2,2000-01-01 09:00,2000-01-01 19:00
10000084,10000028,3,2000-01-01 09:00,2000-01-01 19:00
10000085,10000028,4,2000-01-01 09:00,2000-01-01 19:00
10000086,10000028,5,2000-01-01 09:00,2000-01-01 15:00
10000087,10000028,6,2000-01-01 09:00,2000-01-01 16:00
10000088,10000029,1,2000-01-01 00:00,2000-01-01 00:00
10000089,10000029,2,2000-01-01 00:00,2000-01-01 00:00
10000090,10000029,3,2000-01-01 00:00,2000-01-01 00:00
10000091,10000029,4,2000-01-01 00:00,2000-01-01 00:00
10000092,10000029,5,2000-01-01 00:00,2000-01-01 00:00
10000093,10000029,6,2000-01-01 00:00,2000-01-01 00:00
10000094,10000029,7,2000-01-01 00:00,2000-01-01 00:00
10000095,10000030,1,2000-01-01 05:30,2000-01-01 22:00
10000096,10000030,2,2000-01-01 05:30,2000-01-01 22:00
10000097,10000030,3,2000-01-01 05:30,2000-01-01 22:00
10000098,10000030,4,2000-01-01 05:30,2000-01-01 22:00
10000099,10000030,5,2000-01-01 05:30,2000-01-01 21:00
10000100,10000030,6,2000-01-01 07:30,2000-01-01 17:00
10000101,10000030,7,2000-01-01 08:00,2000-01-01 17:00
10000102,10000031,1,2000-01-01 11:00,2000-01-01 22:00
10000103,10000031,2,2000-01-01 11:00,2000-01-01 22:00
10000104,10000031,3,2000-01-01 11:00,2000-01-01 22:00
10000105,10000031,4,2000-01-01 11:00,2000-01-01 22:00
10000106,10000031,5,2000-01-01 11:00,2000-01-01 23:00
10000107,10000031,6,2000-01-01 11:00,2000-01-01 23:00
10000108,10000031,7,2000-01-01 11:00,2000-01-01 21:00
10000109,10000032,1,2000-01-01 10:30,2000-01-01 22:00
10000110,10000032,2,2000-01-01 10:30,2000-01-01 22:00
10000111,10000032,3,2000-01-01 10:30,2000-01-01 22:00
10000112,10000032,4,2000-01-01 10:30,2000-01-01 22:00
10000113,10000032,5,2000-01-01 10:30,2000-01-01 22:00
10000114,10000032,6,2000-01-01 10:30,2000-01-01 22:00
10000115,10000032,7,2000-01-01 10:30,2000-01-01 21:00
10000116,10000033,1,2000-01-01 09:00,2000-01-01 21:00
10000117,10000033,2,2000-01-01 09:00,2000-01-01 21:00
10000118,10000033,3,2000-01-01 09:00,2000-01-01 21:00
10000119,10000033,4,2000-01-01 09:00,2000-01-01 21:00
10000120,10000033,5,2000-01-01 09:00,2000-01-01 18:00
10000121,10000033,6,2000-01-01 08:00,2000-01-01 15:00
10000122,10000034,1,2000-01-01 10:00,2000-01-01 00:00
10000123,10000034,2,2000-01-01 10:00,2000-01-01 00:00
10000124,10000034,3,2000-01-01 10:00,2000-01-01 00:00
10000125,10000034,4,2000-01-01 10:00,2000-01-01 00:00
10000126,10000034,5,2000-01-01 10:00,2000-01-01 01:30
10000127,10000034,6,2000-01-01 10:00,2000-01-01 01:30
10000128,10000034,7,2000-01-01 11:00,2000-01-01 23:00
10000129,10000036,1,2000-01-01 06:00,2000-01-01 21:30
10000130,10000036,2,2000-01-01 06:00,2000-01-01 21:30
10000131,10000036,3,2000-01-01 06:00,2000-01-01 21:30
10000132,10000036,4,2000-01-01 06:00,2000-01-01 22:30
10000133,10000036,5,2000-01-01 07:00,2000-01-01 22:30
10000134,10000036,6,2000-01-01 07:00,2000-01-01 21:00
10000135,10000036,7,2000-01-01 06:00,2000-01-01 21:30
10000136,10000038,2,2000-01-01 09:00,2000-01-01 15:00
10000137,10000038,3,2000-01-01 15:00,2000-01-01 21:00
10000138,10000038,4,2000-01-01 09:00,2000-01-01 15:00
10000139,10000039,1,2000-01-01 09:00,2000-01-01 21:00
10000140,10000039,2,2000-01-01 09:00,2000-01-01 21:00
10000141,10000039,3,2000-01-01 09:00,2000-01-01 21:00
10000142,10000039,4,2000-01-01 09:00,2000-01-01 21:00
10000143,10000039,5,2000-01-01 09:00,2000-01-01 21:00
10000144,10000039,6,2000-01-01 09:00,2000-01-01 21:00
10000145,10000039,7,2000-01-01 10:00,2000-01-01 19:00
10000146,10000041,1,2000-01-01 00:00,2000-01-01 00:00
10000147,10000041,2,2000-01-01 00:00,2000-01-01 00:00
10000148,10000041,3,2000-01-01 00:00,2000-01-01 00:00
10000149,10000041,4,2000-01-01 00:00,2000-01-01 00:00
10000150,10000041,5,2000-01-01 00:00,2000-01-01 00:00
10000151,10000041,6,2000-01-01 00:00,2000-01-01 00:00
10000152,10000041,7,2000-01-01 00:00,2000-01-01 00:00
10000153,10000043,4,2000-01-01 18:00,2000-01-01 02:00
10000154,10000043,5,2000-01-01 18:00,2000-01-01 02:00
10000155,10000043,6,2000-01-01 18:00,2000-01-01 02:00
10000156,10000044,1,2000-01-01 08:00,2000-01-01 16:30
10000157,10000044,2,2000-01-01 08:00,2000-01-01 16:30
10000158,10000044,3,2000-01-01 08:00,2000-01-01 16:30
10000159,10000044,4,2000-01-01 08:00,2000-01-01 16:30
10000160,10000044,5,2000-01-01 08:00,2000-01-01 16:30
10000161,10000047,1,2000-01-01 11:30,2000-01-01 00:00
10000162,10000047,2,2000-01-01 11:30,2000-01-01 00:00
10000163,10000047,3,2000-01-01 11:30,2000-01-01 00:00
10000164,10000047,4,2000-01-01 11:30,2000-01-01 00:00
10000165,10000047,5,2000-01-01 11:30,2000-01-01 02:00
10000166,10000047,6,2000-01-01 11:30,2000-01-01 02:00
10000167,10000047,7,2000-01-01 11:30,2000-01-01 00:00
10000168,10000050,1,2000-01-01 07:30,2000-01-01 16:00
10000169,10000050,2,2000-01-01 07:30,2000-01-01 16:00
10000170,10000050,3,2000-01-01 07:30,2000-01-01 16:00
10000171,10000050,4,2000-01-01 07:30,2000-01-01 16:00
10000172,10000050,5,2000-01-01 07:30,2000-01-01 16:00
10000173,10000051,1,2000-01-01 11:00,2000-01-01 23:00
10000174,10000051,2,2000-01-01 11:00,2000-01-01 23:00
10000175,10000051,3,2000-01-01 11:00,2000-01-01 23:00
10000176,10000051,4,2000-01-01 11:00,2000-01-01 23:00
10000177,10000051,5,2000-01-01 11:00,2000-01-01 00:00
10000178,10000051,6,2000-01-01 11:00,2000-01-01 00:00
10000179,10000051,7,2000-01-01 11:00,2000-01-01 00:00
10000180,10000052,1,2000-01-01 11:00,2000-01-01 02:00
10000181,10000052,2,2000-01-01 11:00,2000-01-01 02:00
10000182,10000052,3,2000-01-01 11:00,2000-01-01 02:00
10000183,10000052,4,2000-01-01 11:00,2000-01-01 02:00
10000184,10000052,5,2000-01-01 11:00,2000-01-01 02:00
10000185,10000052,6,2000-01-01 11:00,2000-01-01 02:00
10000186,10000052,7,2000-01-01 11:00,2000-01-01 00:00
10000187,10000053,1,2000-01-01 07:30,2000-01-01 17:00
10000188,10000053,2,2000-01-01 07:30,2000-01-01 17:00
10000189,10000053,3,2000-01-01 07:30,2000-01-01 17:00
10000190,10000053,4,2000-01-01 07:30,2000-01-01 17:00
10000191,10000053,5,2000-01-01 07:30,2000-01-01 17:00
10000192,10000054,1,2000-01-01 12:00,2000-01-01 17:00
10000193,10000054,2,2000-01-01 12:00,2000-01-01 17:00
10000194,10000054,3,2000-01-01 12:00,2000-01-01 20:30
10000195,10000054,4,2000-01-01 12:00,2000-01-01 20:30
10000196,10000054,5,2000-01-01 12:00,2000-01-01 23:00
10000197,10000054,6,2000-01-01 12:00,2000-01-01 22:00
10000198,10000054,7,2000-01-01 14:00,2000-01-01 19:30
10000199,10000055,1,2000-01-01 06:00,2000-01-01 00:00
10000200,10000055,2,2000-01-01 06:00,2000-01-01 00:00
10000201,10000055,3,2000-01-01 06:00,2000-01-01 00:00
10000202,10000055,4,2000-01-01 06:00,2000-01-01 00:00
10000203,10000055,5,2000-01-01 06:00,2000-01-01 00:00
10000204,10000055,6,2000-01-01 06:00,2000-01-01 00:00
10000205,10000055,7,2000-01-01 06:00,2000-01-01 00:00
10000206,10000056,1,2000-01-01 10:00,2000-01-01 21:00
10000207,10000056,2,2000-01-01 10:00,2000-01-01 21:00
10000208,10000056,3,2000-01-01 10:00,2000-01-01 21:00
10000209,10000056,4,2000-01-01 10:00,2000-01-01 21:00
10000210,10000056,5,2000-01-01 10:00,2000-01-01 22:00
10000211,10000056,6,2000-01-01 10:00,2000-01-01 22:00
10000212,10000056,7,2000-01-01 11:00,2000-01-01 20:00
10000213,10000057,1,2000-01-01 11:00,2000-01-01 02:00
10000214,10000057,2,2000-01-01 11:00,2000-01-01 02:00
10000215,10000057,3,2000-01-01 11:00,2000-01-01 02:00
10000216,10000057,4,2000-01-01 11:00,2000-01-01 02:00
10000217,10000057,5,2000-01-01 11:00,2000-01-01 02:00
10000218,10000057,6,2000-01-01 11:00,2000-01-01 02:00
10000219,10000057,7,2000-01-01 11:00,2000-01-01 02:00
10000220,10000059,1,2000-01-01 08:00,2000-01-01 17:00
10000221,10000059,2,2000-01-01 08:00,2000-01-01 17:00
10000222,10000059,3,2000-01-01 08:00,2000-01-01 18:00
10000223,10000059,4,2000-01-01 08:00,2000-01-01 17:00
10000224,10000059,5,2000-01-01 08:00,2000-01-01 18:00
10000225,10000059,6,2000-01-01 08:00,2000-01-01 17:00
10000226,10000059,7,2000-01-01 12:00,2000-01-01 17:00
10000227,10000061,1,2000-01-01 11:00,2000-01-01 22:00
10000228,10000061,2,2000-01-01 11:00,2000-01-01 22:00
10000229,10000061,3,2000-01-01 11:00,2000-01-01 22:00
10000230,10000061,4,2000-01-01 11:00,2000-01-01 22:00
10000231,10000061,5,2000-01-01 11:00,2000-01-01 22:30
10000232,10000061,6,2000-01-01 11:00,2000-01-01 22:30
10000233,10000061,7,2000-01-01 12:00,2000-01-01 22:00
10000234,10000062,1,2000-01-01 11:00,2000-01-01 23:00
10000235,10000062,2,2000-01-01 11:00,2000-01-01 00:00
10000236,10000062,3,2000-01-01 11:00,2000-01-01 00:00
10000237,10000062,4,2000-01-01 11:00,2000-01-01 00:00
10000238,10000062,5,2000-01-01 11:00,2000-01-01 00:00
10000239,10000062,6,2000-01-01 11:00,2000-01-01 01:00
10000240,10000062,7,2000-01-01 11:00,2000-01-01 01:00
10000241,10000063,1,2000-01-01 11:00,2000-01-01 23:00
10000242,10000063,2,2000-01-01 11:00,2000-01-01 23:00
10000243,10000063,3,2000-01-01 11:00,2000-01-01 23:00
10000244,10000063,4,2000-01-01 11:00,2000-01-01 23:00
10000245,10000063,5,2000-01-01 11:00,2000-01-01 00:00
10000246,10000063,6,2000-01-01 11:00,2000-01-01 00:00
10000247,10000063,7,2000-01-01 11:00,2000-01-01 23:00
10000248,10000065,1,2000-01-01 10:00,2000-01-01 21:00
10000249,10000065,2,2000-01-01 10:00,2000-01-01 21:00
10000250,10000065,3,2000-01-01 10:00,2000-01-01 21:00
10000251,10000065,4,2000-01-01 10:00,2000-01-01 21:00
10000252,10000065,5,2000-01-01 10:00,2000-01-01 21:00
10000253,10000065,6,2000-01-01 10:00,2000-01-01 21:00
10000254,10000065,7,2000-01-01 12:00,2000-01-01 18:00
10000255,10000066,1,2000-01-01 10:00,2000-01-01 21:00
10000256,10000066,2,2000-01-01 10:00,2000-01-01 21:00
10000257,10000066,3,2000-01-01 10:00,2000-01-01 21:00
10000258,10000066,4,2000-01-01 10:00,2000-01-01 21:00
10000259,10000066,5,2000-01-01 10:00,2000-01-01 21:00
10000260,10000066,6,2000-01-01 10:00,2000-01-01 21:00
10000261,10000066,7,2000-01-01 11:00,2000-01-01 18:00
10000262,10000067,1,2000-01-01 11:00,2000-01-01 22:00
10000263,10000067,2,2000-01-01 11:00,2000-01-01 22:00
10000264,10000067,3,2000-01-01 11:00,2000-01-01 22:00
10000265,10000067,4,2000-01-01 11:00,2000-01-01 22:00
10000266,10000067,5,2000-01-01 11:00,2000-01-01 23:00
10000267,10000067,6,2000-01-01 11:00,2000-01-01 23:00
10000268,10000067,7,2000-01-01 11:00,2000-01-01 22:00
10000269,10000068,1,2000-01-01 10:00,2000-01-01 21:00
10000270,10000068,2,2000-01-01 10:00,2000-01-01 21:00
10000271,10000068,3,2000-01-01 10:00,2000-01-01 21:00
10000272,10000068,4,2000-01-01 10:00,2000-01-01 21:00
10000273,10000068,5,2000-01-01 10:00,2000-01-01 21:00
10000274,10000068,6,2000-01-01 10:00,2000-01-01 21:00
10000275,10000068,7,2000-01-01 12:00,2000-01-01 18:00
10000276,10000069,1,2000-01-01 08:00,2000-01-01 18:00
10000277,10000069,2,2000-01-01 08:00,2000-01-01 18:00
10000278,10000069,3,2000-01-01 08:00,2000-01-01 18:00
10000279,10000069,4,2000-01-01 08:00,2000-01-01 18:00
10000280,10000069,5,2000-01-01 08:00,2000-01-01 18:00
10000281,10000069,6,2000-01-01 09:00,2000-01-01 12:00
10000282,10000070,1,2000-01-01 06:30,2000-01-01 21:00
10000283,10000070,2,2000-01-01 06:30,2000-01-01 21:00
10000284,10000070,3,2000-01-01 06:30,2000-01-01 21:00
10000285,10000070,4,2000-01-01 06:30,2000-01-01 21:00
10000286,10000070,5,2000-01-01 06:30,2000-01-01 22:00
10000287,10000070,6,2000-01-01 07:00,2000-01-01 22:00
10000288,10000070,7,2000-01-01 08:00,2000-01-01 20:00
10000289,10000073,1,2000-01-01 10:00,2000-01-01 21:00
10000290,10000073,2,2000-01-01 10:00,2000-01-01 21:00
10000291,10000073,3,2000-01-01 10:00,2000-01-01 21:00
10000292,10000073,4,2000-01-01 10:00,2000-01-01 21:00
10000293,10000073,5,2000-01-01 10:00,2000-01-01 21:00
10000294,10000073,6,2000-01-01 09:30,2000-01-01 21:00
10000295,10000073,7,2000-01-01 11:00,2000-01-01 18:00
10000296,10000075,1,2000-01-01 10:00,2000-01-01 21:00
10000297,10000075,2,2000-01-01 10:00,2000-01-01 21:00
10000298,10000075,3,2000-01-01 10:00,2000-01-01 21:00
10000299,10000075,4,2000-01-01 10:00,2000-01-01 21:00
10000300,10000075,5,2000-01-01 10:00,2000-01-01 21:00
10000301,10000075,6,2000-01-01 10:00,2000-01-01 21:00
10000302,10000075,7,2000-01-01 11:00,2000-01-01 18:00
10000303,10000077,1,2000-01-01 06:00,2000-01-01 00:00
10000304,10000077,2,2000-01-01 06:00,2000-01-01 00:00
10000305,10000077,3,2000-01-01 06:00,2000-01-01 00:00
10000306,10000077,4,2000-01-01 06:00,2000-01-01 00:00
10000307,10000077,5,2000-01-01 06:00,2000-01-01 01:00
10000308,10000077,6,2000-01-01 06:00,2000-01-01 01:00
10000309,10000077,7,2000-01-01 06:00,2000-01-01 00:00
10000310,10000078,1,2000-01-01 09:30,2000-01-01 21:30
10000311,10000078,2,2000-01-01 09:30,2000-01-01 21:30
10000312,10000078,3,2000-01-01 09:30,2000-01-01 21:30
10000313,10000078,4,2000-01-01 09:30,2000-01-01 21:30
10000314,10000078,5,2000-01-01 09:30,2000-01-01 21:30
10000315,10000078,6,2000-01-01 09:30,2000-01-01 21:30
10000316,10000078,7,2000-01-01 11:00,2000-01-01 20:00
10000317,10000080,1,2000-01-01 11:00,2000-01-01 22:00
10000318,10000080,2,2000-01-01 11:00,2000-01-01 22:00
10000319,10000080,3,2000-01-01 11:00,2000-01-01 22:00
10000320,10000080,4,2000-01-01 11:00,2000-01-01 22:00
10000321,10000080,5,2000-01-01 11:00,2000-01-01 23:00
10000322,10000080,6,2000-01-01 11:00,2000-01-01 23:00
10000323,10000080,7,2000-01-01 11:00,2000-01-01 22:00
10000324,10000082,1,2000-01-01 09:00,2000-01-01 21:30
10000325,10000082,2,2000-01-01 09:00,2000-01-01 21:30
10000326,10000082,3,2000-01-01 09:00,2000-01-01 21:30
10000327,10000082,4,2000-01-01 09:00,2000-01-01 21:30
10000328,10000082,5,2000-01-01 09:00,2000-01-01 21:30
10000329,10000082,6,2000-01-01 09:00,2000-01-01 21:30
10000330,10000082,7,2000-01-01 10:00,2000-01-01 19:00
10000331,10000084,1,2000-01-01 06:00,2000-01-01 00:00
10000332,10000084,2,2000-01-01 06:00,2000-01-01 00:00
10000333,10000084,3,2000-01-01 06:00,2000-01-01 00:00
10000334,10000084,4,2000-01-01 06:00,2000-01-01 00:00
10000335,10000084,5,2000-01-01 06:00,2000-01-01 00:00
10000336,10000084,6,2000-01-01 06:00,2000-01-01 00:00
10000337,10000084,7,2000-01-01 06:00,2000-01-01 00:00
10000338,10000091,2,2000-01-01 07:00,2000-01-01 16:30
10000339,10000091,3,2000-01-01 07:00,2000-01-01 16:30
10000340,10000091,4,2000-01-01 07:00,2000-01-01 16:30
10000341,10000091,5,2000-01-01 07:00,2000-01-01 16:30
10000342,10000091,6,2000-01-01 07:00,2000-01-01 15:30
10000343,10000092,1,2000-01-01 11:00,2000-01-01 18:00
10000344,10000092,2,2000-01-01 11:00,2000-01-01 19:00
10000345,10000092,3,2000-01-01 11:00,2000-01-01 19:00
10000346,10000092,4,2000-01-01 11:00,2000-01-01 19:00
10000347,10000092,5,2000-01-01 11:00,2000-01-01 19:00
10000348,10000094,1,2000-01-01 06:00,2000-01-01 14:00
10000349,10000094,2,2000-01-01 06:00,2000-01-01 14:00
10000350,10000094,3,2000-01-01 06:00,2000-01-01 14:00
10000351,10000094,4,2000-01-01 06:00,2000-01-01 14:00
10000352,10000094,5,2000-01-01 06:00,2000-01-01 14:00
10000353,10000094,6,2000-01-01 07:00,2000-01-01 14:00
10000354,10000094,7,2000-01-01 07:00,2000-01-01 14:00
10000355,10000095,1,2000-01-01 11:00,2000-01-01 21:00
10000356,10000095,2,2000-01-01 11:00,2000-01-01 21:00
10000357,10000095,3,2000-01-01 11:00,2000-01-01 21:00
10000358,10000095,4,2000-01-01 11:00,2000-01-01 21:00
10000359,10000095,5,2000-01-01 11:00,2000-01-01 21:00
10000360,10000095,6,2000-01-01 11:00,2000-01-01 21:00
10000361,10000095,7,2000-01-01 11:00,2000-01-01 21:00
10000362,10000098,1,2000-01-01 09:00,2000-01-01 21:00
10000363,10000098,2,2000-01-01 09:00,2000-01-01 21:00
10000364,10000098,3,2000-01-01 09:00,2000-01-01 21:00
10000365,10000098,4,2000-01-01 09:00,2000-01-01 21:00
10000366,10000098,5,2000-01-01 09:00,2000-01-01 21:00
10000367,10000098,6,2000-01-01 09:00,2000-01-01 18:00
10000368,10000098,7,2000-01-01 10:00,2000-01-01 18:00
10000369,10000101,1,2000-01-01 16:30,2000-01-01 22:00
10000370,10000101,2,2000-01-01 16:30,2000-01-01 22:00
10000371,10000101,3,2000-01-01 16:30,2000-01-01 22:00
10000372,10000101,4,2000-01-01 16:30,2000-01-01 22:00
10000373,10000101,5,2000-01-01 16:30,2000-01-01 22:30
10000374,10000101,6,2000-01-01 16:30,2000-01-01 22:30
10000375,10000101,7,2000-01-01 15:00,2000-01-01 21:00
10000376,10000102,1,2000-01-01 08:30,2000-01-01 18:00
10000377,10000102,2,2000-01-01 08:30,2000-01-01 18:00
10000378,10000102,3,2000-01-01 08:30,2000-01-01 18:00
10000379,10000102,4,2000-01-01 08:30,2000-01-01 18:00
10000380,10000102,5,2000-01-01 08:30,2000-01-01 18:00
10000381,10000102,6,2000-01-01 08:30,2000-01-01 17:00
10000382,10000103,1,2000-01-01 09:00,2000-01-01 17:00
10000383,10000103,2,2000-01-01 09:00,2000-01-01 17:00
10000384,10000103,3,2000-01-01 09:00,2000-01-01 17:00
10000385,10000103,4,2000-01-01 09:00,2000-01-01 17:00
10000386,10000103,5,2000-01-01 09:00,2000-01-01 17:00
10000387,10000103,6,2000-01-01 09:00,2000-01-01 14:00
10000388,10000112,1,2000-01-01 09:00,2000-01-01 21:00
10000389,10000112,2,2000-01-01 09:00,2000-01-01 21:00
10000390,10000112,3,2000-01-01 09:00,2000-01-01 21:00
10000391,10000112,4,2000-01-01 09:00,2000-01-01 21:00
10000392,10000112,5,2000-01-01 09:00,2000-01-01 21:00
10000393,10000112,6,2000-01-01 09:00,2000-01-01 17:00
10000394,10000113,3,2000-01-01 17:30,2000-01-01 21:30
10000395,10000113,4,2000-01-01 17:30,2000-01-01 21:30
10000396,10000113,5,2000-01-01 17:30,2000-01-01 21:30
10000397,10000113,6,2000-01-01 17:30,2000-01-01 21:30
10000398,10000114,1,2000-01-01 09:00,2000-01-01 17:00
10000399,10000114,2,2000-01-01 09:00,2000-01-01 17:00
10000400,10000114,3,2000-01-01 09:00,2000-01-01 17:00
10000401,10000114,4,2000-01-01 09:00,2000-01-01 17:00
10000402,10000114,5,2000-01-01 09:00,2000-01-01 17:00
10000403,10000114,6,2000-01-01 09:00,2000-01-01 16:00
10000404,10000115,1,2000-01-01 10:00,2000-01-01 17:00
10000405,10000115,2,2000-01-01 10:00,2000-01-01 17:00
10000406,10000115,3,2000-01-01 10:00,2000-01-01 17:00
10000407,10000115,4,2000-01-01 10:00,2000-01-01 17:00
10000408,10000115,5,2000-01-01 09:00,2000-01-01 18:00
10000409,10000115,6,2000-01-01 09:00,2000-01-01 16:00
10000410,10000116,1,2000-01-01 06:30,2000-01-01 20:00
10000411,10000116,2,2000-01-01 06:30,2000-01-01 20:00
10000412,10000116,3,2000-01-01 06:30,2000-01-01 20:00
10000413,10000116,4,2000-01-01 06:30,2000-01-01 20:00
10000414,10000116,5,2000-01-01 06:30,2000-01-01 20:00
10000415,10000116,6,2000-01-01 06:30,2000-01-01 19:00
10000416,10000118,1,2000-01-01 07:00,2000-01-01 16:00
10000417,10000118,2,2000-01-01 07:00,2000-01-01 16:00
10000418,10000118,3,2000-01-01 07:00,2000-01-01 16:00
10000419,10000118,4,2000-01-01 07:00,2000-01-01 16:00
10000420,10000118,5,2000-01-01 07:00,2000-01-01 16:00
10000421,10000118,6,2000-01-01 07:30,2000-01-01 10:30
10000422,10000121,1,2000-01-01 09:00,2000-01-01 18:00
10000423,10000121,2,2000-01-01 09:00,2000-01-01 18:00
10000424,10000121,3,2000-01-01 09:00,2000-01-01 18:00
10000425,10000121,4,2000-01-01 09:00,2000-01-01 18:00
10000426,10000121,5,2000-01-01 09:00,2000-01-01 18:00
10000427,10000121,6,2000-01-01 09:00,2000-01-01 18:00
10000428,10000122,1,2000-01-01 08:00,2000-01-01 21:00
10000429,10000122,2,2000-01-01 08:00,2000-01-01 21:00
10000430,10000122,3,2000-01-01 08:00,2000-01-01 21:00
10000431,10000122,4,2000-01-01 08:00,2000-01-01 21:00
10000432,10000122,5,2000-01-01 08:00,2000-01-01 21:00
10000433,10000122,6,2000-01-01 08:00,2000-01-01 21:00
