BUSINESS_ID,IMAGE_ID
10000001,10000001
10000002,10000002
10000003,10000003
10000004,10000004
10000005,10000005
10000006,10000006
10000007,10000007
10000008,10000008
10000009,10000009
10000010,10000010
10000011,10000011
10000012,10000012
10000013,10000013
10000014,10000014
10000015,10000015
10000016,10000016
10000017,10000017
10000018,10000018
10000019,10000019
10000020,10000020
10000021,10000021
10000022,10000022
10000023,10000023
10000024,10000024
10000025,10000025
10000026,10000026
10000027,10000027
10000028,10000028
10000029,10000029
10000030,10000030
10000031,10000031
10000032,10000032
10000033,10000033
10000034,10000034
10000035,10000035
10000036,10000036
10000037,10000037
10000038,10000038
10000039,10000039
10000040,10000040
10000041,10000041
10000042,10000042
10000043,10000043
10000044,10000044
10000045,10000045
10000046,10000046
10000047,10000047
10000048,10000048
10000049,10000049
10000050,10000050
10000051,10000051
10000052,10000052
10000053,10000053
10000054,10000054
10000055,10000055
10000056,10000056
10000057,10000057
10000058,10000058
10000059,10000059
10000060,10000060
10000061,10000061
10000062,10000062
10000063,10000063
10000064,10000064
10000065,10000065
10000066,10000066
10000067,10000067
10000068,10000068
10000069,10000069
10000070,10000070
10000071,10000071
10000072,10000072
10000073,10000073
10000074,10000074
10000075,10000075
10000076,10000076
10000077,10000077
10000078,10000078
10000079,10000079
10000080,10000080
10000081,10000081
10000082,10000082
10000083,10000083
10000084,10000084
10000085,10000085
10000086,10000086
10000087,10000087
10000088,10000088
10000089,10000089
10000090,10000090
10000091,10000091
10000092,10000092
10000093,10000093
10000094,10000094
10000095,10000095
10000096,10000096
10000097,10000097
10000098,10000098
10000099,10000099
10000100,10000100
10000101,10000101
10000102,10000102
10000103,10000103
10000104,10000104
10000105,10000105
10000106,10000106
10000107,10000107
10000108,10000108
10000109,10000109
10000110,10000110
10000111,10000111
10000112,10000112
10000113,10000113
10000114,10000114
10000115,10000115
10000116,10000116
10000117,10000117
10000118,10000118
10000119,10000119
10000120,10000120
10000121,10000121
10000122,10000122
10000123,10000123
10000124,10000124
10000125,10000125
10000126,10000126
10000127,10000127
10000128,10000128
10000129,10000129
10000130,10000130
10000131,10000131
10000132,10000132
10000133,10000133
10000134,10000134
10000135,10000135
10000136,10000136
10000137,10000137
10000138,10000138
10000139,10000139
10000140,10000140
10000141,10000141
10000142,10000142
10000143,10000143
10000144,10000144
10000145,10000145
10000146,10000146
10000147,10000147
10000148,10000148
10000149,10000149
10000150,10000150
10000151,10000151
10000152,10000152
10000153,10000153
10000154,10000154
10000155,10000155
10000156,10000156
10000157,10000157
10000158,10000158
10000159,10000159
10000160,10000160
10000161,10000161
10000162,10000162
10000163,10000163
10000164,10000164
10000165,10000165
10000166,10000166
10000167,10000167
10000168,10000168
10000169,10000169
10000170,10000170
10000171,10000171
10000172,10000172
