BUSINESS_ID,TAG_ID
10000001,1
10000001,6
10000002,23
10000003,14
10000003,15
10000004,1
10000004,2
10000004,23
10000005,14
10000005,15
10000006,1
10000006,2
10000006,23
10000007,35
10000007,36
10000008,14
10000008,15
10000009,43
10000012,35
10000013,1
10000013,2
10000013,10
10000014,27
10000015,35
10000015,38
10000017,35
10000017,38
10000018,1
10000018,2
10000018,23
10000019,1
10000020,1
10000020,8
10000021,46
10000021,47
10000022,1
10000022,23
10000022,24
10000023,1
10000023,12
10000025,1
10000026,48
10000026,50
10000027,1
10000027,3
10000029,1
10000029,2
10000030,14
10000030,16
10000030,17
10000031,1
10000032,1
10000032,2
10000033,48
10000033,50
10000034,1
10000034,12
10000035,1
10000035,6
10000035,10
10000036,27
10000037,23
10000037,24
10000039,20
10000040,20
10000041,1
10000041,6
10000041,10
10000042,20
10000042,21
10000043,23
10000044,35
10000045,20
10000045,43
10000046,1
10000046,2
10000046,23
10000047,1
10000047,2
10000047,23
10000048,48
10000049,1
10000049,6
10000049,10
10000050,43
10000051,1
10000051,12
10000052,1
10000052,2
10000052,27
10000053,35
10000053,36
10000054,23
10000055,27
10000056,20
10000056,22
10000057,1
10000057,2
10000057,23
10000058,14
10000059,20
10000060,46
10000061,1
10000061,3
10000062,1
10000062,2
10000062,23
10000063,1
10000063,2
10000063,12
10000064,20
10000064,32
10000065,20
10000065,21
10000066,20
10000066,21
10000067,1
10000067,3
10000068,20
10000068,21
10000069,46
10000070,1
10000070,13
10000072,20
10000072,21
10000073,20
10000073,21
10000074,1
10000074,12
10000075,20
10000075,21
10000076,20
10000076,21
10000077,1
10000077,2
10000078,20
10000078,21
10000079,20
10000080,1
10000080,2
10000081,20
10000081,21
10000082,20
10000082,21
10000083,27
10000084,27
10000085,1
10000085,6
10000085,10
10000086,1
10000086,12
10000087,20
10000088,1
10000088,12
10000089,46
10000090,1
10000090,3
10000091,27
10000091,28
10000093,1
10000093,2
10000094,1
10000094,10
10000095,1
10000095,12
10000096,1
10000096,3
10000097,1
10000097,2
10000097,10
10000098,20
10000099,27
10000100,23
10000101,1
10000102,27
10000103,20
10000104,1
10000104,11
10000105,1
10000105,12
10000106,1
10000106,12
10000107,1
10000107,6
10000107,10
10000108,1
10000108,3
